,year_ceremony,category,name,film,bafta
3217,1994,Actress in a Leading Role,Emma Thompson,The Remains Of The Day,Nominee
3218,1994,Actress in a Leading Role,Debra Winger,Shadowlands,Nominee
3219,1994,Actress in a Supporting Role,Miriam Margolyes,The Age Of Innocence,Winner
3220,1994,Actress in a Supporting Role,Holly Hunter,The Firm,Nominee
3221,1994,Actress in a Supporting Role,Winona Ryder,The Age Of Innocence,Nominee
3222,1994,Actress in a Supporting Role,Maggie Smith,The Secret Garden,Nominee
3223,1994,Writing (Adapted Screenplay),Steven Zaillian,Schindler's List,Winner
3224,1994,Writing (Adapted Screenplay),"Terry George, Jim Sheridan",In The Name Of The Father,Nominee
3225,1994,Writing (Adapted Screenplay),Ruth Prawer Jhabvala,The Remains Of The Day,Nominee
3226,1994,Writing (Adapted Screenplay),Bo Goldman,Scent Of A Woman,Nominee
3227,1994,Writing (Adapted Screenplay),William Nicholson,Shadowlands,Nominee
3249,1994,Best Picture,"Steven Spielberg, Gerald R Molen, Branko Lustig",Schindler's List,Winner
3250,1994,Best Picture,"Jan Chapman, Jane Campion",The Piano,Nominee
3251,1994,Best Picture,"Ismail Merchant, Mike Nichols, John Calley, James Ivory",The Remains Of The Day,Nominee
3252,1994,Best Picture,"Richard Attenborough, Brian Eastman",Shadowlands,Nominee
3263,1994,Writing (Original Screenplay),"Danny Rubin, Harold Ramis",Groundhog Day,Winner
3264,1994,Writing (Original Screenplay),Jeff Maguire,In The Line Of Fire,Nominee
3265,1994,Writing (Original Screenplay),Jane Campion,The Piano,Nominee
3266,1994,Writing (Original Screenplay),"Nora Ephron, David S Ward, Jeff Arch",Sleepless In Seattle,Nominee
3295,1995,Actor in a Leading Role,Hugh Grant,Four Weddings And A Funeral,Winner
3296,1995,Actor in a Leading Role,Tom Hanks,Forrest Gump,Nominee
3297,1995,Actor in a Leading Role,Terence Stamp,"The Adventures Of Priscilla, Queen Of The Desert",Nominee
3298,1995,Actor in a Leading Role,John Travolta,Pulp Fiction,Nominee
3299,1995,Actor in a Supporting Role,Samuel L Jackson,Pulp Fiction,Winner
3300,1995,Actor in a Supporting Role,Simon Callow,Four Weddings And A Funeral,Nominee
3301,1995,Actor in a Supporting Role,John Hannah,Four Weddings And A Funeral,Nominee
3302,1995,Actor in a Supporting Role,Paul Scofield,Quiz Show,Nominee
3303,1995,Actress in a Leading Role,Susan Sarandon,The Client,Winner
3304,1995,Actress in a Leading Role,Linda Fiorentino,The Last Seduction,Nominee
3305,1995,Actress in a Leading Role,Irène Jacob,Three Colours Red (Trois Couleurs: Rouge),Nominee
3306,1995,Actress in a Leading Role,Uma Thurman,Pulp Fiction,Nominee
3307,1995,Actress in a Supporting Role,Kristin Scott Thomas,Four Weddings And A Funeral,Winner
3308,1995,Actress in a Supporting Role,Charlotte Coleman,Four Weddings And A Funeral,Nominee
3309,1995,Actress in a Supporting Role,Sally Field,Forrest Gump,Nominee
3310,1995,Actress in a Supporting Role,Anjelica Huston,Manhattan Murder Mystery,Nominee
3311,1995,Writing (Adapted Screenplay),Paul Attanasio,Quiz Show,Winner
3312,1995,Writing (Adapted Screenplay),Ronald Harwood,The Browning Version,Nominee
3313,1995,Writing (Adapted Screenplay),Eric Roth,Forrest Gump,Nominee
3314,1995,Writing (Adapted Screenplay),"Amy Tan, Ronald Bass",The Joy Luck Club,Nominee
3340,1995,Best Picture,"Duncan Kenworthy, Mike Newell",Four Weddings And A Funeral,Winner
3341,1995,Best Picture,"Wendy Finerman, Steve Tisch, Steve Starkey, Robert Zemeckis",Forrest Gump,Nominee
3342,1995,Best Picture,"Lawrence Bender, Quentin Tarantino",Pulp Fiction,Nominee
3343,1995,Best Picture,"Michael Jacobs, Julian Krainin, Michael Nozik, Robert Redford",Quiz Show,Nominee
3353,1995,Writing (Original Screenplay),"Quentin Tarantino, Roger Avary",Pulp Fiction,Winner
3354,1995,Writing (Original Screenplay),Stephan Elliott,"The Adventures Of Priscilla, Queen Of The Desert",Nominee
3355,1995,Writing (Original Screenplay),Richard Curtis,Four Weddings And A Funeral,Nominee
3356,1995,Writing (Original Screenplay),Ron Nyswaner,Philadelphia,Nominee
3357,1995,Writing (Original Screenplay),"Krzysztof Kieslowski, Krzysztof Piesiewicz",Three Colours Red (Trois Couleurs: Rouge),Nominee
3380,1996,Actor in a Leading Role,Nigel Hawthorne,The Madness Of King George,Winner
3381,1996,Actor in a Leading Role,Nicolas Cage,Leaving Las Vegas,Nominee
3382,1996,Actor in a Leading Role,Jonathan Pryce,Carrington,Nominee
3383,1996,Actor in a Leading Role,Massimo Troisi,The Postman (Il Postino),Nominee
3384,1996,Actor in a Supporting Role,Tim Roth,Rob Roy,Winner
3385,1996,Actor in a Supporting Role,Ian Holm,The Madness Of King George,Nominee
3386,1996,Actor in a Supporting Role,Martin Landau,Ed Wood,Nominee
3387,1996,Actor in a Supporting Role,Alan Rickman,Sense And Sensibility,Nominee
3388,1996,Actress in a Leading Role,Emma Thompson,Sense And Sensibility,Winner
3389,1996,Actress in a Leading Role,Nicole Kidman,To Die For,Nominee
3390,1996,Actress in a Leading Role,Helen Mirren,The Madness Of King George,Nominee
3391,1996,Actress in a Leading Role,Elisabeth Shue,Leaving Las Vegas,Nominee
3392,1996,Actress in a Supporting Role,Kate Winslet,Sense And Sensibility,Winner
3393,1996,Actress in a Supporting Role,Joan Allen,Nixon,Nominee
3394,1996,Actress in a Supporting Role,Mira Sorvino,Mighty Aphrodite,Nominee
3395,1996,Actress in a Supporting Role,Elizabeth Spriggs,Sense And Sensibility,Nominee
3396,1996,Writing (Adapted Screenplay),John Hodge,Trainspotting,Winner
3397,1996,Writing (Adapted Screenplay),"George Miller, Chris Noonan",Babe,Nominee
3398,1996,Writing (Adapted Screenplay),Mike Figgis,Leaving Las Vegas,Nominee
3399,1996,Writing (Adapted Screenplay),Alan Bennett,The Madness Of King George,Nominee
3400,1996,Writing (Adapted Screenplay),"Anna Pavignano, Michael Radford, Furio Scarpelli, Giacomo Scarpelli, Massimo Troisi",The Postman (Il Postino),Nominee
3401,1996,Writing (Adapted Screenplay),Emma Thompson,Sense And Sensibility,Nominee
3430,1996,Best Picture,"Lindsay Doran, Ang Lee",Sense And Sensibility,Winner
3431,1996,Best Picture,"George Miller, Doug Mitchell, Bill Miller, Chris Noonan",Babe,Nominee
3432,1996,Best Picture,"Stephen Evans, David Parfitt, Nicholas Hytner",The Madness Of King George,Nominee
3433,1996,Best Picture,"Bryan Singer, Michael McDonnell",The Usual Suspects,Nominee
3443,1996,Writing (Original Screenplay),Christopher McQuarrie,The Usual Suspects,Winner
3444,1996,Writing (Original Screenplay),"Woody Allen, Douglas McGrath",Bullets Over Broadway,Nominee
3445,1996,Writing (Original Screenplay),PJ Hogan,Muriel's Wedding,Nominee
3446,1996,Writing (Original Screenplay),Andrew Kevin Walker,Seven,Nominee
3470,2001,Actor in a Leading Role,Jamie Bell,Billy Elliot,Winner
3471,2001,Actor in a Leading Role,Russell Crowe,Gladiator,Nominee
3472,2001,Actor in a Leading Role,Michael Douglas,Wonder Boys,Nominee
3473,2001,Actor in a Leading Role,Tom Hanks,Cast Away,Nominee
3474,2001,Actor in a Leading Role,Geoffrey Rush,Quills,Nominee
3475,2001,Actor in a Supporting Role,Benicio Del Toro,Traffic,Winner
3476,2001,Actor in a Supporting Role,Albert Finney,Erin Brockovich,Nominee
3477,2001,Actor in a Supporting Role,Gary Lewis,Billy Elliot,Nominee
3478,2001,Actor in a Supporting Role,Joaquin Phoenix,Gladiator,Nominee
3479,2001,Actor in a Supporting Role,Oliver Reed,Gladiator,Nominee
3480,2001,Actress in a Leading Role,Julia Roberts,Erin Brockovich,Winner
3481,2001,Actress in a Leading Role,Juliette Binoche,Chocolat,Nominee
3482,2001,Actress in a Leading Role,Kate Hudson,Almost Famous,Nominee
3483,2001,Actress in a Leading Role,Hilary Swank,Boys Don't Cry,Nominee
3484,2001,Actress in a Leading Role,Michelle Yeoh,"Crouching Tiger, Hidden Dragon (Wo Hu Cang Long)",Nominee
3485,2001,Actress in a Supporting Role,Julie Walters,Billy Elliot,Winner
3486,2001,Actress in a Supporting Role,Judi Dench,Chocolat,Nominee
3487,2001,Actress in a Supporting Role,Frances McDormand,Almost Famous,Nominee
3488,2001,Actress in a Supporting Role,Lena Olin,Chocolat,Nominee
3489,2001,Actress in a Supporting Role,Zhang Ziyi,"Crouching Tiger, Hidden Dragon (Wo Hu Cang Long)",Nominee
3490,2001,Writing (Adapted Screenplay),Stephen Gaghan,Traffic,Winner
3491,2001,Writing (Adapted Screenplay),Robert Nelson Jacobs,Chocolat,Nominee
3492,2001,Writing (Adapted Screenplay),"DV De Vincentis, Steve Pink, John Cusack, Scott Rosenberg",High Fidelity,Nominee
3493,2001,Writing (Adapted Screenplay),"James Schamus, Wang Hui-Ling, Tsai Kuo-Jung","Crouching Tiger, Hidden Dragon (Wo Hu Cang Long)",Nominee
3494,2001,Writing (Adapted Screenplay),Steve Kloves,Wonder Boys,Nominee
3532,2001,Best Picture,"Douglas Wick, David Franzoni,  Branko Lustig",Gladiator,Winner
3533,2001,Best Picture,"Cameron Crowe, Ian Bryce",Almost Famous,Nominee
3534,2001,Best Picture,"Greg Brenman, Jon Finn",Billy Elliot,Nominee
3535,2001,Best Picture,"Danny De Vito, Michael Shamberg, Stacey Sher",Erin Brockovich,Nominee
3536,2001,Best Picture,"Bill Kong, Hsu Li Kong, Ang Lee","Crouching Tiger, Hidden Dragon (Wo Hu Cang Long)",Nominee
3548,2001,Writing (Original Screenplay),Cameron Crowe,Almost Famous,Winner
3549,2001,Writing (Original Screenplay),Lee Hall,Billy Elliot,Nominee
3550,2001,Writing (Original Screenplay),Susannah Grant,Erin Brockovich,Nominee
3551,2001,Writing (Original Screenplay),"David Franzoni, John Logan, William Nicholson",Gladiator,Nominee
3552,2001,Writing (Original Screenplay),"Ethan Coen, Joel Coen",O Brother Where Art Thou?,Nominee
3575,2016,Writing (Adapted Screenplay),"Adam McKay, Charles Randolph",The Big Short,Winner
3576,2016,Writing (Adapted Screenplay),Nick Hornby,Brooklyn,Nominee
3577,2016,Writing (Adapted Screenplay),Phyllis Nagy,Carol,Nominee
3578,2016,Writing (Adapted Screenplay),Emma Donoghue,Room,Nominee
3579,2016,Writing (Adapted Screenplay),Aaron Sorkin,Steve Jobs,Nominee
3601,2016,Directing,Alejandro G. Iñárritu,The Revenant,Winner
3602,2016,Directing,Adam McKay,The Big Short,Nominee
3603,2016,Directing,Steven Spielberg,Bridge of Spies,Nominee
3604,2016,Directing,Todd Haynes,Carol,Nominee
3605,2016,Directing,Ridley Scott,The Martian,Nominee
3622,2016,Best Picture,"Steve Golin, Alejandro G. Iñárritu, Arnon Milchan, Mary Parent, Keith Redmon",The Revenant,Winner
3623,2016,Best Picture,"Dede Gardner, Jeremy Kleiner, Brad Pitt",The Big Short,Nominee
3624,2016,Best Picture,"Kristie Macosko Krieger, Marc Platt, Steven Spielberg",Bridge Of Spies,Nominee
3625,2016,Best Picture,"Elizabeth Karlsen, Christine Vachon, Stephen Woolley",Carol,Nominee
3626,2016,Best Picture,"Blye Pagon Faust, Steve Golin, Nicole Rocklin, Michael Sugar",Spotlight,Nominee
3637,2016,Actress in a Leading Role,Brie Larson,Room,Winner
3638,2016,Actress in a Leading Role,Alicia Vikander,The Danish Girl,Nominee
3639,2016,Actress in a Leading Role,Cate Blanchett,Carol,Nominee
3640,2016,Actress in a Leading Role,Maggie Smith,The Lady in the Van,Nominee
3641,2016,Actress in a Leading Role,Saoirse Ronan,Brooklyn,Nominee
3652,2016,Writing (Original Screenplay),"Tom McCarthy, Josh Singer",Spotlight,Winner
3653,2016,Writing (Original Screenplay),"Matthew Charman, Ethan Coen, Joel Coen",Bridge Of Spies,Nominee
3654,2016,Writing (Original Screenplay),Alex Garland,Ex Machina,Nominee
