,year_ceremony,category,name,film,golden_globe
4995,1997,Actor In A Supporting Role,Samuel L. Jackson,"Time To Kill, A",Nominee
4996,1997,Actor In A Supporting Role,Paul Scofield,"Crucible, The",Nominee
4997,1997,Actor In A Supporting Role,James Woods,Ghosts Of Mississippi,Nominee
4998,1997,Directing,Milos Forman,"People Vs. Larry Flynt, The",Winner
4999,1997,Directing,Joel Coen,Fargo,Nominee
5000,1997,Directing,Scott Hicks,Shine,Nominee
5001,1997,Directing,Anthony Minghella,The English Patient,Nominee
5002,1997,Directing,Alan Parker,Evita,Nominee
5003,1997,Writing (Original Screenplay),Scott Alexander,"People Vs. Larry Flynt, The",Winner
5004,1997,Writing (Original Screenplay),Anthony Minghella,The English Patient,Nominee
5005,1997,Writing (Original Screenplay),Ethan Coen,Fargo,Nominee
5006,1997,Writing (Original Screenplay),John Sayles,Lone Star,Nominee
5007,1997,Writing (Original Screenplay),Jan Sardi,Shine,Nominee
5092,1998,Actress In A Leading Role - Drama,Judi Dench,Mrs. Brown,Winner
5093,1998,Actress In A Leading Role - Drama,Helena Bonham Carter,"Wings Of The Dove, The",Nominee
5094,1998,Actress In A Leading Role - Drama,Jodie Foster,Contact,Nominee
5095,1998,Actress In A Leading Role - Drama,Jessica Lange,A Thousand Acres,Nominee
5096,1998,Actress In A Leading Role - Drama,Kate Winslet,Titanic,Nominee
5097,1998,Actor In A Leading Role - Drama,Peter Fonda,Ulee'S Gold,Winner
5098,1998,Actor In A Leading Role - Drama,Matt Damon,Good Will Hunting,Nominee
5099,1998,Actor In A Leading Role - Drama,Daniel Day-Lewis,"Boxer, The",Nominee
5100,1998,Actor In A Leading Role - Drama,Leonardo DiCaprio,Titanic,Nominee
5101,1998,Actor In A Leading Role - Drama,Djimon Hounsou,Amistad,Nominee
5102,1998,Actress In A Leading Role - Musical or Comedy,Helen Hunt,As Good As It Gets,Winner
5103,1998,Actress In A Leading Role - Musical or Comedy,Joey Lauren Adams,Chasing Amy,Nominee
5104,1998,Actress In A Leading Role - Musical or Comedy,Pam Grier,Jackie Brown,Nominee
5105,1998,Actress In A Leading Role - Musical or Comedy,Jennifer Lopez,Selena,Nominee
5106,1998,Actress In A Leading Role - Musical or Comedy,Julia Roberts,My Best Friend'S Wedding,Nominee
5107,1998,Actor In A Leading Role - Musical or Comedy,Jack Nicholson,As Good As It Gets,Winner
5108,1998,Actor In A Leading Role - Musical or Comedy,Kevin Kline,In & Out,Nominee
5109,1998,Actor In A Leading Role - Musical or Comedy,Jim Carrey,Liar Liar,Nominee
5110,1998,Actor In A Leading Role - Musical or Comedy,Dustin Hoffman,Wag The Dog,Nominee
5111,1998,Actor In A Leading Role - Musical or Comedy,Samuel L. Jackson,Jackie Brown,Nominee
5112,1998,Actress In A Supporting Role,Kim Basinger,L.A. Confidential,Winner
5113,1998,Actress In A Supporting Role,Joan Cusack,In & Out,Nominee
5114,1998,Actress In A Supporting Role,Julianne Moore,Boogie Nights,Nominee
5115,1998,Actress In A Supporting Role,Gloria Stuart,Titanic,Nominee
5116,1998,Actress In A Supporting Role,Sigourney Weaver,"Ice Storm, The",Nominee
5117,1998,Actor In A Supporting Role,Burt Reynolds,Boogie Nights,Winner
5118,1998,Actor In A Supporting Role,Robin Williams,Good Will Hunting,Nominee
5119,1998,Actor In A Supporting Role,Rupert Everett,My Best Friend'S Wedding,Nominee
5120,1998,Actor In A Supporting Role,Anthony Hopkins,Amistad,Nominee
5121,1998,Actor In A Supporting Role,Greg Kinnear,As Good As It Gets,Nominee
5122,1998,Actor In A Supporting Role,Jon Voight,John Grisham'S The Rainmaker,Nominee
5123,1998,Directing,James Cameron,Titanic,Winner
5124,1998,Directing,Steven Spielberg,Amistad,Nominee
5125,1998,Directing,James L. Brooks,As Good As It Gets,Nominee
5126,1998,Directing,Curtis Hanson,L.A. Confidential,Nominee
5127,1998,Directing,Jim Sheridan,"Boxer, The",Nominee
5128,1998,Writing (Original Screenplay),"Ben Affleck, Matt Damon",Good Will Hunting,Winner
5129,1998,Writing (Original Screenplay),Mark Andrus,As Good As It Gets,Nominee
5130,1998,Writing (Original Screenplay),Curtis Hanson,L.A. Confidential,Nominee
5131,1998,Writing (Original Screenplay),James Cameron,Titanic,Nominee
5132,1998,Writing (Original Screenplay),Hilary Henkin,Wag The Dog,Nominee
5218,1999,Actress In A Leading Role - Drama,Cate Blanchett,Elizabeth,Winner
5219,1999,Actress In A Leading Role - Drama,Fernanda Montenegro,Central Station,Nominee
5220,1999,Actress In A Leading Role - Drama,Susan Sarandon,Stepmom,Nominee
5221,1999,Actress In A Leading Role - Drama,Meryl Streep,One True Thing,Nominee
5222,1999,Actress In A Leading Role - Drama,Emily Watson,Hilary And Jackie,Nominee
5223,1999,Actor In A Leading Role - Drama,Jim Carrey,The Truman Show,Winner
5224,1999,Actor In A Leading Role - Drama,Stephen Fry,Wilde,Nominee
5225,1999,Actor In A Leading Role - Drama,Tom Hanks,Saving Private Ryan,Nominee
5226,1999,Actor In A Leading Role - Drama,Ian McKellen,Gods And Monsters,Nominee
5227,1999,Actor In A Leading Role - Drama,Nick Nolte,Affliction,Nominee
5228,1999,Actress In A Leading Role - Musical or Comedy,Gwyneth Paltrow,Shakespeare In Love,Winner
5229,1999,Actress In A Leading Role - Musical or Comedy,Meg Ryan,You'Ve Got Mail,Nominee
5230,1999,Actress In A Leading Role - Musical or Comedy,Cameron Diaz,There'S Something About Mary,Nominee
5231,1999,Actress In A Leading Role - Musical or Comedy,Jane Horrocks,Little Voice,Nominee
5232,1999,Actress In A Leading Role - Musical or Comedy,Christina Ricci,"Opposite Of Sex, The",Nominee
5233,1999,Actor In A Leading Role - Musical or Comedy,Michael Caine,Little Voice,Winner
5234,1999,Actor In A Leading Role - Musical or Comedy,Antonio Banderas,"Mask Of Zorro, The",Nominee
5235,1999,Actor In A Leading Role - Musical or Comedy,Warren Beatty,Bulworth,Nominee
5236,1999,Actor In A Leading Role - Musical or Comedy,John Travolta,Primary Colors,Nominee
5237,1999,Actor In A Leading Role - Musical or Comedy,Robin Williams,Patch Adams,Nominee
5238,1999,Actress In A Supporting Role,Lynn Redgrave,Gods And Monsters,Winner
5239,1999,Actress In A Supporting Role,Kathy Bates,Primary Colors,Nominee
5240,1999,Actress In A Supporting Role,Brenda Blethyn,Little Voice,Nominee
5241,1999,Actress In A Supporting Role,Judi Dench,Shakespeare In Love,Nominee
5242,1999,Actress In A Supporting Role,Sharon Stone,The Mighty,Nominee
5243,1999,Actor In A Supporting Role,Ed Harris,The Truman Show,Winner
5244,1999,Actor In A Supporting Role,Robert Duvall,"Civil Action, A",Nominee
5245,1999,Actor In A Supporting Role,Bill Murray,Rushmore,Nominee
5246,1999,Actor In A Supporting Role,Geoffrey Rush,Shakespeare In Love,Nominee
5247,1999,Actor In A Supporting Role,Donald Sutherland,Without Limits,Nominee
5248,1999,Actor In A Supporting Role,Billy Bob Thornton,"Simple Plan, A",Nominee
5249,1999,Directing,Steven Spielberg,Saving Private Ryan,Winner
5250,1999,Directing,Shekhar Kapur,Elizabeth,Nominee
5251,1999,Directing,John Madden,Shakespeare In Love,Nominee
5252,1999,Directing,Robert Redford,"Horse Whisperer, The",Nominee
5253,1999,Directing,Peter Weir,The Truman Show,Nominee
5254,1999,Writing (Original Screenplay),Marc Norman,Shakespeare In Love,Winner
5255,1999,Writing (Original Screenplay),Warren Beatty,Bulworth,Nominee
5256,1999,Writing (Original Screenplay),Todd Solondz,Happiness,Nominee
5257,1999,Writing (Original Screenplay),Robert Rodat,Saving Private Ryan,Nominee
5258,1999,Writing (Original Screenplay),Andrew M. Niccol,The Truman Show,Nominee
5343,2000,Actress In A Leading Role - Drama,Hilary Swank,Boys Don'T Cry,Winner
5344,2000,Actress In A Leading Role - Drama,Julianne Moore,The End Of The Affair,Nominee
5345,2000,Actress In A Leading Role - Drama,Meryl Streep,Music Of The Heart,Nominee
5346,2000,Actress In A Leading Role - Drama,Sigourney Weaver,"Map Of The World, A",Nominee
5347,2000,Actress In A Leading Role - Drama,Annette Bening,American Beauty,Nominee
5348,2000,Actor In A Leading Role - Drama,Denzel Washington,"Hurricane, The",Winner
5349,2000,Actor In A Leading Role - Drama,Russell Crowe,The Insider,Nominee
5350,2000,Actor In A Leading Role - Drama,Matt Damon,The Talented Mr. Ripley,Nominee
5351,2000,Actor In A Leading Role - Drama,Richard Farnsworth,The Straight Story,Nominee
5352,2000,Actor In A Leading Role - Drama,Kevin Spacey,American Beauty,Nominee
5353,2000,Actress In A Leading Role - Musical or Comedy,Janet McTeer,Tumbleweeds,Winner
5354,2000,Actress In A Leading Role - Musical or Comedy,Julianne Moore,"Ideal Husband, An",Nominee
5355,2000,Actress In A Leading Role - Musical or Comedy,Julia Roberts,Notting Hill,Nominee
5356,2000,Actress In A Leading Role - Musical or Comedy,Sharon Stone,"Muse, The",Nominee
5357,2000,Actress In A Leading Role - Musical or Comedy,Reese Witherspoon,Election,Nominee
5358,2000,Actor In A Leading Role - Musical or Comedy,Jim Carrey,Man On The Moon,Winner
5359,2000,Actor In A Leading Role - Musical or Comedy,Sean Penn,Sweet And Lowdown,Nominee
5360,2000,Actor In A Leading Role - Musical or Comedy,Robert De Niro,Analyze This,Nominee
5361,2000,Actor In A Leading Role - Musical or Comedy,Rupert Everett,"Ideal Husband, An",Nominee
5362,2000,Actor In A Leading Role - Musical or Comedy,Hugh Grant,Notting Hill,Nominee
5363,2000,Actress In A Supporting Role,Angelina Jolie,"Girl, Interrupted",Winner
5364,2000,Actress In A Supporting Role,Cameron Diaz,Being John Malkovich,Nominee
5365,2000,Actress In A Supporting Role,Catherine Keener,Being John Malkovich,Nominee
5366,2000,Actress In A Supporting Role,Samantha Morton,Sweet And Lowdown,Nominee
5367,2000,Actress In A Supporting Role,Natalie Portman,Anywhere But Here,Nominee
5368,2000,Actress In A Supporting Role,Chloë Sevigny,Boys Don'T Cry,Nominee
5369,2000,Actor In A Supporting Role,Tom Cruise,Magnolia,Winner
5370,2000,Actor In A Supporting Role,Haley Joel Osment,"Sixth Sense, The",Nominee
5371,2000,Actor In A Supporting Role,Michael Caine,"Cider House Rules, The",Nominee
5372,2000,Actor In A Supporting Role,Michael Clarke Duncan,"Green Mile, The",Nominee
5373,2000,Actor In A Supporting Role,Jude Law,The Talented Mr. Ripley,Nominee
5374,2000,Directing,Sam Mendes,American Beauty,Winner
5375,2000,Directing,Norman Jewison,"Hurricane, The",Nominee
5376,2000,Directing,Neil Jordan,The End Of The Affair,Nominee
5377,2000,Directing,Michael Mann,The Insider,Nominee
5378,2000,Directing,Anthony Minghella,The Talented Mr. Ripley,Nominee
5379,2000,Writing (Original Screenplay),Alan Ball,American Beauty,Winner
5380,2000,Writing (Original Screenplay),Michael Mann,The Insider,Nominee
5381,2000,Writing (Original Screenplay),M. Night Shyamalan,"Sixth Sense, The",Nominee
5382,2000,Writing (Original Screenplay),Charlie Kaufman,Being John Malkovich,Nominee
