,year_ceremony,category,film,name,cca
187,2014,Best Picture,The Imitation Game,Morten Tyldum,Nominee
188,2014,Best Picture,Nightcrawler,Dan Gilroy,Nominee
189,2014,Best Picture,Selma,Ava DuVernay,Nominee
190,2014,Best Picture,The Theory of Everything,James Marsh,Nominee
191,2014,Best Picture,Unbroken,Angelina Jolie,Nominee
192,2014,Best Picture,Whiplash,Damien Chazelle,Nominee
193,2015,Best Picture,Spotlight,Tom McCarthy,Winner
194,2015,Best Picture,The Big Short,Adam McKay,Nominee
195,2015,Best Picture,Bridge of Spies,Steve Spielberg,Nominee
196,2015,Best Picture,Brooklyn,John Crowley,Nominee
197,2015,Best Picture,Carol,Todd Haynes,Nominee
198,2015,Best Picture,Mad Max: Fury Road,George Miller,Nominee
199,2015,Best Picture,The Martian,Ridley Scott,Nominee
200,2015,Best Picture,The Revenant,Alejandro G. Iñárritu,Nominee
201,2015,Best Picture,Room,Lenny Abrahamson,Nominee
202,2015,Best Picture,Sicario,Denis Villeneuve,Nominee
203,2015,Best Picture,Star Wars: The Force Awakens,J. J. Abrams,Nominee
204,2016,Best Picture,La La Land,Damien Chazelle,Winner
205,2016,Best Picture,Arrival,Denis Villeneuve,Nominee
206,2016,Best Picture,Fences,Denzel Washington,Nominee
207,2016,Best Picture,Hacksaw Ridge,Mel Gibson,Nominee
208,2016,Best Picture,Hell or High Water,David Mackenzie,Nominee
209,2016,Best Picture,Lion,Garth Davis,Nominee
210,2016,Best Picture,Loving,Jeff Nichols,Nominee
211,2016,Best Picture,Manchester by the Sea,Kenneth Lonergan,Nominee
212,2016,Best Picture,Moonlight,Barry Jenkins,Nominee
213,2016,Best Picture,Sully,Clint Eastwood,Nominee
214,2017,Best Picture,The Shape of Water,Guillermo del Toro,Winner
215,2017,Best Picture,The Big Sick,Michael Showalter,Nominee
216,2017,Best Picture,Call Me by Your Name,Luca Guadagnino,Nominee
217,2017,Best Picture,Darkest Hour,Joe Wright,Nominee
218,2017,Best Picture,Dunkirk,Christopher Nolan,Nominee
219,2017,Best Picture,The Florida Project,Sean Baker,Nominee
220,2017,Best Picture,Get Out,Jordan Peele,Nominee
221,2017,Best Picture,Lady Bird,Greta Gerwig,Nominee
222,2017,Best Picture,The Post,Steven Spielberg,Nominee
223,2017,Best Picture,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,Nominee
224,2018,Best Picture,Roma,Alfonso Cuarón,Winner
225,2018,Best Picture,BlacKkKlansman,Spike Lee,Nominee
226,2018,Best Picture,Black Panther,Ryan Coogler,Nominee
227,2018,Best Picture,The Favourite,Yorgos Lanthimos,Nominee
228,2018,Best Picture,First Man,Damien Chazelle,Nominee
229,2018,Best Picture,Green Book,Peter Farrelly,Nominee
230,2018,Best Picture,If Beale Street Could Talk,Barry Jenkins,Nominee
231,2018,Best Picture,Mary Poppins Returns,Rob Marshall,Nominee
