,year_ceremony,category,name,film,oscar
8780,2007,Writing (Adapted Screenplay),Screenplay by Alfonso Cuarón & Timothy J. Sexton and David Arata and Mark Fergus & Hawk Ostby,Children Of Men,Nominee
8781,2007,Writing (Adapted Screenplay),Screenplay by William Monahan,The Departed,Winner
8782,2007,Writing (Adapted Screenplay),Screenplay by Todd Field & Tom Perrotta,Little Children,Nominee
8783,2007,Writing (Adapted Screenplay),Screenplay by Patrick Marber,Notes On A Scandal,Nominee
8784,2007,Writing (Original Screenplay),Written by Guillermo Arriaga,Babel,Nominee
8785,2007,Writing (Original Screenplay),Screenplay by Iris Yamashita; Story by Iris Yamashita & Paul Haggis,Letters From Iwo Jima,Nominee
8786,2007,Writing (Original Screenplay),Written by Michael Arndt,Little Miss Sunshine,Winner
8787,2007,Writing (Original Screenplay),Written by Guillermo del Toro,Pan'S Labyrinth,Nominee
8788,2007,Writing (Original Screenplay),Written by Peter Morgan,The Queen,Nominee
8791,2008,Actor In A Leading Role,George Clooney,Michael Clayton,Nominee
8792,2008,Actor In A Leading Role,Daniel Day-Lewis,There Will Be Blood,Winner
8793,2008,Actor In A Leading Role,Johnny Depp,Sweeney Todd The Demon Barber Of Fleet Street,Nominee
8794,2008,Actor In A Leading Role,Tommy Lee Jones,In The Valley Of Elah,Nominee
8795,2008,Actor In A Leading Role,Viggo Mortensen,Eastern Promises,Nominee
8796,2008,Actor In A Supporting Role,Casey Affleck,The Assassination Of Jesse James By The Coward Robert Ford,Nominee
8797,2008,Actor In A Supporting Role,Javier Bardem,No Country For Old Men,Winner
8798,2008,Actor In A Supporting Role,Philip Seymour Hoffman,Charlie Wilson'S War,Nominee
8799,2008,Actor In A Supporting Role,Hal Holbrook,Into The Wild,Nominee
8800,2008,Actor In A Supporting Role,Tom Wilkinson,Michael Clayton,Nominee
8801,2008,Actress In A Leading Role,Cate Blanchett,Elizabeth: The Golden Age,Nominee
8802,2008,Actress In A Leading Role,Julie Christie,Away From Her,Nominee
8803,2008,Actress In A Leading Role,Marion Cotillard,La Vie En Rose,Winner
8804,2008,Actress In A Leading Role,Laura Linney,The Savages,Nominee
8805,2008,Actress In A Leading Role,Ellen Page,Juno,Nominee
8806,2008,Actress In A Supporting Role,Cate Blanchett,I'M Not There,Nominee
8807,2008,Actress In A Supporting Role,Ruby Dee,American Gangster,Nominee
8808,2008,Actress In A Supporting Role,Saoirse Ronan,Atonement,Nominee
8809,2008,Actress In A Supporting Role,Amy Ryan,Gone Baby Gone,Nominee
8810,2008,Actress In A Supporting Role,Tilda Swinton,Michael Clayton,Winner
8829,2008,Directing,Julian Schnabel,The Diving Bell And The Butterfly,Nominee
8830,2008,Directing,Jason Reitman,Juno,Nominee
8831,2008,Directing,Tony Gilroy,Michael Clayton,Nominee
8832,2008,Directing,Joel Coen and Ethan Coen,No Country For Old Men,Winner
8833,2008,Directing,Paul Thomas Anderson,There Will Be Blood,Nominee
8848,2008,International Feature Film,Israel,Beaufort,Nominee
8849,2008,International Feature Film,Austria,The Counterfeiters,Winner
8850,2008,International Feature Film,Poland,Katyn,Nominee
8851,2008,International Feature Film,Kazakhstan,Mongol,Nominee
8852,2008,International Feature Film,Russia,12,Nominee
8866,2008,Best Picture,"Tim Bevan, Eric Fellner and Paul Webster, Producers",Atonement,Nominee
8867,2008,Best Picture,"Lianne Halfon, Mason Novick and Russell Smith, Producers",Juno,Nominee
8868,2008,Best Picture,"Sydney Pollack, Jennifer Fox and Kerry Orent, Producers",Michael Clayton,Nominee
8869,2008,Best Picture,"Scott Rudin, Ethan Coen and Joel Coen, Producers",No Country For Old Men,Winner
8870,2008,Best Picture,"JoAnne Sellar, Paul Thomas Anderson and Daniel Lupi, Producers",There Will Be Blood,Nominee
8894,2008,Writing (Adapted Screenplay),Screenplay by Christopher Hampton,Atonement,Nominee
8895,2008,Writing (Adapted Screenplay),Written by Sarah Polley,Away From Her,Nominee
8896,2008,Writing (Adapted Screenplay),Screenplay by Ronald Harwood,The Diving Bell And The Butterfly,Nominee
8897,2008,Writing (Adapted Screenplay),Written for the screen by Joel Coen & Ethan Coen,No Country For Old Men,Winner
8898,2008,Writing (Adapted Screenplay),Written for the Screen by Paul Thomas Anderson,There Will Be Blood,Nominee
8899,2008,Writing (Original Screenplay),Written by Diablo Cody,Juno,Winner
8900,2008,Writing (Original Screenplay),Written by Nancy Oliver,Lars And The Real Girl,Nominee
8901,2008,Writing (Original Screenplay),Written by Tony Gilroy,Michael Clayton,Nominee
8902,2008,Writing (Original Screenplay),"Screenplay by Brad Bird; Story by Jan Pinkava, Jim Capobianco, Brad Bird",Ratatouille,Nominee
8903,2008,Writing (Original Screenplay),Written by Tamara Jenkins,The Savages,Nominee
8905,2009,Actor In A Leading Role,Richard Jenkins,The Visitor,Nominee
8906,2009,Actor In A Leading Role,Frank Langella,Frost/Nixon,Nominee
8907,2009,Actor In A Leading Role,Sean Penn,Milk,Winner
8908,2009,Actor In A Leading Role,Brad Pitt,The Curious Case Of Benjamin Button,Nominee
8909,2009,Actor In A Leading Role,Mickey Rourke,The Wrestler,Nominee
8910,2009,Actor In A Supporting Role,Josh Brolin,Milk,Nominee
8911,2009,Actor In A Supporting Role,Robert Downey Jr.,Tropic Thunder,Nominee
8912,2009,Actor In A Supporting Role,Philip Seymour Hoffman,Doubt,Nominee
8913,2009,Actor In A Supporting Role,Heath Ledger,The Dark Knight,Winner
8914,2009,Actor In A Supporting Role,Michael Shannon,Revolutionary Road,Nominee
8915,2009,Actress In A Leading Role,Anne Hathaway,Rachel Getting Married,Nominee
8916,2009,Actress In A Leading Role,Angelina Jolie,Changeling,Nominee
8917,2009,Actress In A Leading Role,Melissa Leo,Frozen River,Nominee
8918,2009,Actress In A Leading Role,Meryl Streep,Doubt,Nominee
