,year_ceremony,category,name,film,oscar,golden_globe,sag,cca
177,1993,Writing (Original Screenplay),"George Miller, Nick Enright",Lorenzo'S Oil,Nominee,No,No,No
178,1993,Writing (Original Screenplay),John Sayles,Passion Fish,Nominee,No,No,No
179,1993,Writing (Original Screenplay),David Webb Peoples,Unforgiven,Nominee,No,No,No
180,1994,Actor In A Leading Role,Daniel Day-Lewis,In The Name Of The Father,Nominee,No,No,No
181,1994,Actor In A Leading Role,Laurence Fishburne,What'S Love Got To Do With It,Nominee,No,No,No
182,1994,Actor In A Leading Role,Tom Hanks,Philadelphia,Winner,No,No,No
183,1994,Actor In A Leading Role,Anthony Hopkins,"Remains Of The Day, The",Nominee,No,No,No
184,1994,Actor In A Leading Role,Liam Neeson,Schindler'S List,Nominee,No,No,No
185,1994,Actor In A Supporting Role,Leonardo DiCaprio,What'S Eating Gilbert Grape,Nominee,No,No,No
186,1994,Actor In A Supporting Role,Ralph Fiennes,Schindler'S List,Nominee,No,No,No
187,1994,Actor In A Supporting Role,Tommy Lee Jones,"Fugitive, The",Winner,No,No,No
188,1994,Actor In A Supporting Role,John Malkovich,In The Line Of Fire,Nominee,No,No,No
189,1994,Actor In A Supporting Role,Pete Postlethwaite,In The Name Of The Father,Nominee,No,No,No
190,1994,Actress In A Leading Role,Angela Bassett,What'S Love Got To Do With It,Nominee,No,No,No
191,1994,Actress In A Leading Role,Stockard Channing,Six Degrees Of Separation,Nominee,No,No,No
192,1994,Actress In A Leading Role,Holly Hunter,The Piano,Winner,No,No,No
193,1994,Actress In A Leading Role,Emma Thompson,"Remains Of The Day, The",Nominee,No,No,No
194,1994,Actress In A Leading Role,Debra Winger,Shadowlands,Nominee,No,No,No
195,1994,Actress In A Supporting Role,Holly Hunter,The Firm,Nominee,No,No,No
196,1994,Actress In A Supporting Role,Anna Paquin,The Piano,Winner,No,No,No
197,1994,Actress In A Supporting Role,Rosie Perez,Fearless,Nominee,No,No,No
198,1994,Actress In A Supporting Role,Winona Ryder,"Age Of Innocence, The",Nominee,No,No,No
199,1994,Actress In A Supporting Role,Emma Thompson,In The Name Of The Father,Nominee,No,No,No
200,1994,Directing,Jim Sheridan,In The Name Of The Father,Nominee,No,No,No
201,1994,Directing,Jane Campion,The Piano,Nominee,No,No,No
202,1994,Directing,James Ivory,"Remains Of The Day, The",Nominee,No,No,No
